"filename", "language", "PostCSS", "PHP", "XML", "JavaScript JSX", "JSON", "Markdown", "comment", "blank", "total"
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\README.md", "Markdown", 0, 0, 0, 0, 0, 45, 0, 22, 67
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Console\Kernel.php", "PHP", 0, 15, 0, 0, 0, 0, 7, 6, 28
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Exceptions\Handler.php", "PHP", 0, 17, 0, 0, 0, 0, 9, 5, 31
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Controllers\AsignacionController.php", "PHP", 0, 85, 0, 0, 0, 0, 7, 26, 118
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Controllers\Auth\AuthenticatedSessionController.php", "PHP", 0, 26, 0, 0, 0, 0, 8, 13, 47
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Controllers\Auth\EmailVerificationNotificationController.php", "PHP", 0, 18, 0, 0, 0, 0, 3, 6, 27
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Controllers\Auth\NewPasswordController.php", "PHP", 0, 38, 0, 0, 0, 0, 8, 8, 54
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Controllers\Auth\PasswordResetLinkController.php", "PHP", 0, 25, 0, 0, 0, 0, 8, 7, 40
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Controllers\Auth\RegisteredUserController.php", "PHP", 0, 35, 0, 0, 0, 0, 6, 8, 49
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Controllers\Auth\VerifyEmailController.php", "PHP", 0, 24, 0, 0, 0, 0, 3, 6, 33
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Controllers\CompraController.php", "PHP", 0, 120, 0, 0, 0, 0, 0, 10, 130
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Controllers\Controller.php", "PHP", 0, 135, 0, 0, 0, 0, 1, 23, 159
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Controllers\DistribuidorController.php", "PHP", 0, 73, 0, 0, 0, 0, 1, 11, 85
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Controllers\ProductoController.php", "PHP", 0, 102, 0, 0, 0, 0, 4, 27, 133
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Controllers\VehiculoController.php", "PHP", 0, 42, 0, 0, 0, 0, 4, 16, 62
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Kernel.php", "PHP", 0, 42, 0, 0, 0, 0, 20, 7, 69
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Middleware\Authenticate.php", "PHP", 0, 11, 0, 0, 0, 0, 3, 4, 18
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Middleware\EncryptCookies.php", "PHP", 0, 8, 0, 0, 0, 0, 6, 4, 18
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Middleware\EnsureEmailIsVerified.php", "PHP", 0, 18, 0, 0, 0, 0, 5, 5, 28
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Middleware\PreventRequestsDuringMaintenance.php", "PHP", 0, 8, 0, 0, 0, 0, 6, 4, 18
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Middleware\RedirectIfAuthenticated.php", "PHP", 0, 20, 0, 0, 0, 0, 5, 6, 31
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Middleware\TrimStrings.php", "PHP", 0, 11, 0, 0, 0, 0, 5, 4, 20
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Middleware\TrustHosts.php", "PHP", 0, 12, 0, 0, 0, 0, 5, 4, 21
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Middleware\TrustProxies.php", "PHP", 0, 14, 0, 0, 0, 0, 10, 5, 29
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Middleware\ValidateSignature.php", "PHP", 0, 8, 0, 0, 0, 0, 11, 4, 23
"c:\EDBERTO\SEMESTRE 8.1\SIG\ProyectoFinal\laravel_backend_zapateria\app\Http\Middleware\VerifyCsrfToken.php", "PHP", 0, 8, 0, 0, 0, 0, 6, 4, 18
